step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
1,57,1,0.7282743147071492,0.0,0.0,0.7022300271731573,0.0,0.0,,
2,122,2,0.8202461846206732,0.0,0.0,,,,,
3,187,3,0.7147376120243917,0.0,0.0,,,,,
4,260,4,0.5132041023842855,0.0,0.0,,,,,
5,317,5,0.6614254942515254,0.0,0.0,,,,,
6,430,6,0.30089442878327516,0.0,0.0,,,,,
7,535,7,0.2505480936373939,0.0,0.0,,,,,
8,648,8,0.2359879792384215,0.0,0.0,,,,,
9,769,9,0.11870902310645516,0.0,0.3333333333333333,0.25019082643433643,0.0,0.5,,
10,834,10,0.090004551494294,1.0,1.0,,,,,
11,923,11,0.1066385273557601,0.0,0.5,,,,,
12,1044,12,0.0791743338482144,0.0,0.5,,,,,
13,1149,13,0.07238798258174658,0.0,0.6666666666666666,,,,,
14,1254,14,0.10525805815794646,0.0,0.6666666666666666,,,,,
15,1375,15,0.05078786346331859,0.0,0.6666666666666666,,,,,
16,1416,16,0.11015936837240588,0.0,0.5,,,,,
17,1465,17,0.14020282169478981,0.0,0.5,0.1455118301469234,0.0,0.5,,
18,1594,18,0.04725433041962788,0.0,0.5,,,,,
19,1667,19,0.07334237296263582,0.0,0.6666666666666666,,,,,
20,1740,20,0.0656471331369701,0.0,0.6666666666666666,,,,,
21,1853,21,0.045008134981336684,0.0,0.6666666666666666,,,,,
22,1974,22,0.038155346952359344,0.0,0.5,,,,,
23,2087,23,0.041697336841940075,1.0,1.0,,,,,
24,2200,24,0.06044656370816352,0.0,0.5,,,,,
25,2265,25,0.075598907169624,0.0,0.5,0.04642070557238185,0.0,0.6666666666666666,,
26,2770,26,0.050359226449352076,0.0,0.5,,,,,
27,2883,27,0.03792199482205823,1.0,1.0,,,,,
28,2988,28,0.03515351916734989,1.0,1.0,,,,,
29,3101,29,0.03340456001190822,1.0,1.0,,,,,
30,3198,30,0.0379177852277644,1.0,1.0,,,,,
31,3247,31,0.23825293389304228,0.0,0.5,,,,,
32,3312,32,0.03789430585653463,1.0,1.0,,,,,
33,3433,33,0.0782996178677228,0.0,0.6666666666666666,0.08551886562642175,0.0,0.6666666666666666,,
34,3562,34,0.07258427123520961,0.0,0.6666666666666666,,,,,
35,3651,35,0.08187344767637446,0.0,0.6666666666666666,,,,,
36,3716,36,0.03831207243834797,1.0,1.0,,,,,
37,3789,37,0.06175140772703647,0.0,0.6666666666666666,,,,,
38,3926,38,0.04033011905783925,0.0,0.6666666666666666,,,,,
39,4063,39,0.03702082578660927,1.0,1.0,,,,,
40,4120,40,0.10095125794826473,0.0,0.5,,,,,
41,4177,41,0.04115432652495136,1.0,1.0,0.036034483319048634,1.0,1.0,,
42,4306,42,0.05495009888836649,0.0,0.5,,,,,
43,4427,43,0.022557042321927536,1.0,1.0,,,,,
44,4492,44,0.03349556097342429,1.0,1.0,,,,,
45,4573,45,0.0297730661968526,1.0,1.0,,,,,
46,4686,46,0.05854079109931652,0.0,0.5,,,,,
47,4751,47,0.06811034981215926,0.0,0.5,,,,,
48,4808,48,0.06451033423837672,0.0,0.5,,,,,
49,4945,49,0.08619893201715861,0.0,0.5,0.029057162136450647,1.0,1.0,,
50,4978,50,0.10638949778745882,0.0,0.6666666666666666,,,,,
51,5083,51,0.034700915974983496,0.0,0.6666666666666666,,,,,
52,5132,52,0.08510589867083279,0.0,0.6666666666666666,,,,,
53,5245,53,0.04480317693665191,0.0,0.6666666666666666,,,,,
54,5350,54,0.043026440201569,0.0,0.6666666666666666,,,,,
55,5471,55,0.03210092184583967,1.0,1.0,,,,,
56,5576,56,0.020980503129271365,1.0,1.0,,,,,
57,5633,57,0.031108041128692483,1.0,1.0,0.049338841985257155,0.0,0.5,,
58,5754,58,0.0650778091745451,0.0,0.5,,,,,
59,5819,59,0.0286650364320667,1.0,1.0,,,,,
60,5972,60,0.05119155812594966,0.0,0.5,,,,,
61,6037,61,0.027729669425498284,1.0,1.0,,,,,
62,6158,62,0.06986576236671924,0.0,0.5,,,,,
63,6215,63,0.023745401853105117,1.0,1.0,,,,,
64,6320,64,0.020579469121025446,1.0,1.0,,,,,
65,6433,65,0.030594850468249724,1.0,1.0,0.026248641019797105,1.0,1.0,,
66,6554,66,0.04901587819453562,0.0,0.5,,,,,
67,6611,67,0.04144201749492951,1.0,1.0,,,,,
68,6724,68,0.0706232400611043,0.0,0.5,,,,,
69,6805,69,0.057083800403401254,0.0,0.5,,,,,
70,6894,70,0.03230436339762739,1.0,1.0,,,,,
71,7023,71,0.03292934867651638,0.0,0.6666666666666666,,,,,
72,7136,72,0.04741090555729897,0.0,0.6666666666666666,,,,,
73,7193,73,0.03983893314110381,1.0,1.0,0.03597985615759171,1.0,1.0,,
74,7242,74,0.06634307140988918,0.0,0.5,,,,,
75,7299,75,0.04570086450883537,1.0,1.0,,,,,
76,7356,76,0.04359194494265207,1.0,1.0,,,,,
77,7461,77,0.03887328562520382,1.0,1.0,,,,,
78,7526,78,0.07983763513169834,0.0,0.5,,,,,
79,7591,79,0.05183095983506064,0.0,0.5,,,,,
80,7688,80,0.03689146563200969,1.0,1.0,,,,,
81,7745,81,0.06188578289849309,0.0,0.5,0.033348901115407774,0.0,0.5,,
82,7858,82,0.03700564245786933,0.0,0.6666666666666666,,,,,
83,7963,83,0.03359495816622467,1.0,1.0,,,,,
84,8028,84,0.0701148347936396,0.0,0.6666666666666666,,,,,
85,8125,85,0.05071365027856396,0.0,0.6666666666666666,,,,,
86,8246,86,0.03396236511634198,1.0,1.0,,,,,
87,8303,87,0.027047515845292112,1.0,1.0,,,,,
88,8424,88,0.058336241499501444,0.0,0.5,,,,,
89,8513,89,0.03239249275133426,1.0,1.0,0.04512947787776404,0.0,0.5,,
90,8570,90,0.07799182463167068,0.0,0.5,,,,,
91,8675,91,0.017553145199887626,1.0,1.0,,,,,
92,8740,92,0.05921247143427536,0.0,0.5,,,,,
93,8861,93,0.04051607775110945,0.0,0.5,,,,,
94,8998,94,0.028565087980414853,1.0,1.0,,,,,
95,9095,95,0.04175874055839813,0.0,0.6666666666666666,,,,,
96,9336,96,0.028978233998964698,0.0,0.6666666666666666,,,,,
97,9433,97,0.03711287227207018,1.0,1.0,0.05862962846112038,0.0,0.5,,
98,9514,98,0.050169386644600314,0.0,0.6666666666666666,,,,,
99,9563,99,0.026252469846125073,1.0,1.0,,,,,
100,9620,100,0.16607343462112892,0.0,0.5,,,,,
101,9725,101,0.03445696541405946,1.0,1.0,,,,,
102,9862,102,0.03732901312333792,0.0,0.6666666666666666,,,,,
103,9967,103,0.03880541965319516,0.0,0.6666666666666666,,,,,
104,10080,104,0.03860882831150125,1.0,1.0,,,,,
105,10145,105,0.046607865461501204,0.0,0.6666666666666666,0.03322809530178627,1.0,1.0,,
106,10210,106,0.0345458278607498,1.0,1.0,,,,,
107,10275,107,0.10200252637720951,0.0,0.5,,,,,
108,10332,108,0.02784008290245505,1.0,1.0,,,,,
109,10437,109,0.05919641923569054,0.0,0.5,,,,,
110,10486,110,0.03127520688950123,1.0,1.0,,,,,
111,10543,111,0.10540094658649259,0.0,0.5,,,,,
112,10656,112,0.03122808939952457,1.0,1.0,,,,,
113,10713,113,0.09368835547722744,0.0,0.5,0.03032801982952606,1.0,1.0,,
114,10818,114,0.02451725982596355,1.0,1.0,,,,,
115,10939,115,0.029819611433917696,1.0,1.0,,,,,
116,10988,116,0.06273843073674167,0.0,0.5,,,,,
117,11101,117,0.03229962834304128,0.0,0.5,,,,,
118,11214,118,0.044066457581841724,0.0,0.5,,,,,
119,11287,119,0.038575469584272166,0.0,0.6666666666666666,,,,,
120,11336,120,0.06330161356910441,0.0,0.6666666666666666,,,,,
121,11409,121,0.05006982174022899,0.0,0.6666666666666666,0.05884567460885592,0.0,0.6666666666666666,,
122,11530,122,0.031715826717460004,0.0,0.6666666666666666,,,,,
123,11579,123,0.05219212396481452,0.0,0.6666666666666666,,,,,
124,11660,124,0.03371381295861283,1.0,1.0,,,,,
125,11733,125,0.03659903540630088,1.0,1.0,,,,,
126,11782,126,0.03461661412865699,1.0,1.0,,,,,
127,12007,127,0.02369173818101574,1.0,1.0,,,,,
128,12072,128,0.022512924021839353,1.0,1.0,,,,,
129,12185,129,0.059786543646189,0.0,0.5,0.10141133705626544,0.0,0.5,,
130,12250,130,0.032794820503258965,1.0,1.0,,,,,
131,12291,131,0.028993395984434758,1.0,1.0,,,,,
132,12356,132,0.133644377188989,0.0,0.5,,,,,
133,12469,133,0.07825542593310403,0.0,0.5,,,,,
134,12574,134,0.033113904883959135,1.0,1.0,,,,,
135,12639,135,0.0827931096001066,0.0,0.5,,,,,
136,12752,136,0.06053524876295341,0.0,0.5,,,,,
137,12801,137,0.025541746555506204,1.0,1.0,0.058221568961092166,0.0,0.5,,
138,12930,138,0.030101195449109355,1.0,1.0,,,,,
139,13043,139,0.027969423086443776,1.0,1.0,,,,,
140,13116,140,0.05014999858056802,0.0,0.5,,,,,
141,13181,141,0.0410173651608352,1.0,1.0,,,,,
142,13238,142,0.036584745053837,1.0,1.0,,,,,
143,13295,143,0.041745413171063,0.0,0.6666666666666666,,,,,
144,13416,144,0.04601636576263264,0.0,0.5,,,,,
145,13489,145,0.03507000786761232,1.0,1.0,0.03269983353797094,1.0,1.0,,
146,13602,146,0.03423170481806145,1.0,1.0,,,,,
147,13715,147,0.03018863236670638,1.0,1.0,,,,,
148,13828,148,0.041437075183158804,0.0,0.5,,,,,
149,13957,149,0.020127929530394793,1.0,1.0,,,,,
